relevamiento,variable,unidad,unidad_norm,periodo_tipo,fecha_objetivo,horizonte_meses,mediana,promedio,p10,p90,real,error,abs_error,error_rel_pct,dentro_p10_p90,serie_real,agregacion,comparable
2023-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,2,7.0,7.063963466452972,6.270160738409418,7.930000000000001,5.7,-1.2999999999999998,1.2999999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2023-12-31,1,7.0,7.085574801804171,6.45,7.905365660340783,5.7,-1.2999999999999998,1.2999999999999998,,0.0,DESOCUPACION,dato del mes,True
2022-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,24,7.59,7.896725976193671,6.83924668417001,9.02,6.4,-1.1899999999999995,1.1899999999999995,,0.0,DESOCUPACION,dato del mes,True
2023-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,23,7.755,8.044723106880879,7.140974545186943,9.21,6.4,-1.3549999999999995,1.3549999999999995,,0.0,DESOCUPACION,dato del mes,True
2023-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,22,8.0,8.215876074459443,7.1,10.0,6.4,-1.5999999999999996,1.5999999999999996,,0.0,DESOCUPACION,dato del mes,True
2023-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,21,7.6,7.885190400931534,7.0,9.204418072531452,6.4,-1.1999999999999993,1.1999999999999993,,0.0,DESOCUPACION,dato del mes,True
2023-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,20,7.904999999999999,7.974591254754878,7.0,9.187931957925718,6.4,-1.504999999999999,1.504999999999999,,0.0,DESOCUPACION,dato del mes,True
2023-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,19,7.8,7.877828005866549,7.0,9.18610016741397,6.4,-1.3999999999999995,1.3999999999999995,,0.0,DESOCUPACION,dato del mes,True
2023-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,18,7.7,7.729037254366972,6.9,8.739520017307084,6.4,-1.2999999999999998,1.2999999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,17,7.7,7.645681431658621,6.66,8.866200250877979,6.4,-1.2999999999999998,1.2999999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,16,7.799628414244745,7.788372362266591,6.96,8.9,6.4,-1.399628414244745,1.399628414244745,,0.0,DESOCUPACION,dato del mes,True
2023-09,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,15,7.5,7.551814915583216,6.87,8.360000000000001,6.4,-1.0999999999999996,1.0999999999999996,,0.0,DESOCUPACION,dato del mes,True
2023-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,14,7.5,7.539672921613468,6.664957053676336,8.59,6.4,-1.0999999999999996,1.0999999999999996,,0.0,DESOCUPACION,dato del mes,True
